REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
VALLE D'AOSTA,AOSTA,CHÂTILLON,2580,3,0.12,1,0,Aggiunte coordinate,2026-08,2,2580,2026-08-03,007020,C294,c_c294
VALLE D'AOSTA,AOSTA,COGNE,1731,1731,100.0,0,0,Invariato,2026-03,1731,1731,2026-08-03,007021,C821,c_c821
VALLE D'AOSTA,AOSTA,COURMAYEUR,2573,0,0.0,0,0,Invariato,2026-03,0,2573,2026-08-03,007022,D012,c_d012
VALLE D'AOSTA,AOSTA,DONNAS,2691,2691,100.0,0,0,Invariato,2026-03,2691,2691,2026-08-03,007023,D338,c_d338
VALLE D'AOSTA,AOSTA,DOUES,1177,0,0.0,0,0,Invariato,2026-03,0,1177,2026-08-03,007024,D356,c_d356
VALLE D'AOSTA,AOSTA,EMARÈSE,342,0,0.0,0,0,Invariato,2026-03,0,342,2026-08-03,007025,D402,c_d402
VALLE D'AOSTA,AOSTA,ETROUBLES,637,0,0.0,0,0,Invariato,2026-03,0,637,2026-08-03,007026,D444,c_d444
VALLE D'AOSTA,AOSTA,FONTAINEMORE,973,0,0.0,-522,0,In calo,2026-08,522,973,2026-08-03,007028,D666,c_d666
VALLE D'AOSTA,AOSTA,FÉNIS,1366,387,28.33,-979,0,In calo,2026-08,1366,1366,2026-08-03,007027,D537,c_d537
VALLE D'AOSTA,AOSTA,GABY,496,0,0.0,0,0,Invariato,2026-03,0,496,2026-08-03,007029,D839,c_d839
VALLE D'AOSTA,AOSTA,GIGNOD,1543,0,0.0,0,0,Invariato,2026-03,0,1543,2026-08-03,007030,E029,c_e029
VALLE D'AOSTA,AOSTA,GRESSAN,2102,2102,100.0,0,0,Invariato,2026-03,2102,2102,2026-08-03,007031,E165,c_e165
VALLE D'AOSTA,AOSTA,GRESSONEY-LA-TRINITÉ,689,0,0.0,0,0,Invariato,2026-03,0,689,2026-08-03,007032,E167,c_e167
VALLE D'AOSTA,AOSTA,GRESSONEY-SAINT-JEAN,827,0,0.0,0,0,Invariato,2026-03,0,827,2026-08-03,007033,E168,c_e168
VALLE D'AOSTA,AOSTA,HÔNE,1112,0,0.0,-844,0,In calo,2026-08,844,1112,2026-08-03,007034,E273,c_e273
VALLE D'AOSTA,AOSTA,INTROD,642,0,0.0,0,0,Invariato,2026-03,0,642,2026-08-03,007035,E306,c_e306
VALLE D'AOSTA,AOSTA,ISSIME,345,0,0.0,0,0,Invariato,2026-03,0,345,2026-08-03,007036,E369,c_e369
VALLE D'AOSTA,AOSTA,ISSOGNE,642,0,0.0,0,0,Invariato,2026-03,0,642,2026-08-03,007037,E371,c_e371
VALLE D'AOSTA,AOSTA,JOVENÇAN,554,554,100.0,0,0,Invariato,2026-03,554,554,2026-08-03,007038,E391,c_e391
VALLE D'AOSTA,AOSTA,LA MAGDELEINE,254,0,0.0,0,-7,In calo,2026-08,0,261,2026-08-03,007039,A308,c_a308
VALLE D'AOSTA,AOSTA,LA SALLE,3741,15,0.4,0,0,Invariato,2026-03,15,3741,2026-08-03,007040,E458,c_e458
VALLE D'AOSTA,AOSTA,LA THUILE,1060,1054,99.43,0,-82,In calo,2026-08,1054,1142,2026-08-03,007041,E470,c_e470
VALLE D'AOSTA,AOSTA,LILLIANES,384,384,100.0,0,-32,In calo,2026-08,384,416,2026-08-03,007042,E587,c_e587
VALLE D'AOSTA,AOSTA,MONTJOVET,1660,0,0.0,0,0,Invariato,2026-03,0,1660,2026-08-03,007043,F367,c_f367
VALLE D'AOSTA,AOSTA,MORGEX,1913,0,0.0,0,0,Invariato,2026-03,0,1913,2026-08-03,007044,F726,c_f726
VALLE D'AOSTA,AOSTA,NUS,1454,0,0.0,0,0,Invariato,2026-03,0,1454,2026-08-03,007045,F987,c_f987
VALLE D'AOSTA,AOSTA,OLLOMONT,509,0,0.0,0,-2,In calo,2026-08,0,511,2026-08-03,007046,G045,c_g045
VALLE D'AOSTA,AOSTA,OYACE,335,0,0.0,0,0,Invariato,2026-03,0,335,2026-08-03,007047,G012,c_g012
VALLE D'AOSTA,AOSTA,PERLOZ,955,955,100.0,0,0,Invariato,2026-03,955,955,2026-08-03,007048,G459,c_g459
VALLE D'AOSTA,AOSTA,POLLEIN,703,0,0.0,0,0,Invariato,2026-03,0,703,2026-08-03,007049,G794,c_g794
VALLE D'AOSTA,AOSTA,PONT-SAINT-MARTIN,1867,0,0.0,0,0,Invariato,2026-03,0,1867,2026-08-03,007052,G854,c_g854
VALLE D'AOSTA,AOSTA,PONTBOSET,1083,0,0.0,0,0,Invariato,2026-03,0,1083,2026-08-03,007050,G545,c_g545
VALLE D'AOSTA,AOSTA,PONTEY,425,0,0.0,0,-115,In calo,2026-08,0,540,2026-08-03,007051,G860,c_g860
VALLE D'AOSTA,AOSTA,PRÉ-SAINT-DIDIER,903,0,0.0,0,0,Invariato,2026-03,0,903,2026-08-03,007053,H042,c_h042
VALLE D'AOSTA,AOSTA,QUART,2285,2284,99.96,9,10,Aggiunti civici e coordinate,2026-08,2275,2275,2026-08-03,007054,H110,c_h110
VALLE D'AOSTA,AOSTA,RHÊMES-NOTRE-DAME,688,688,100.0,0,0,Invariato,2026-03,688,688,2026-08-03,007055,H262,c_h262
VALLE D'AOSTA,AOSTA,RHÊMES-SAINT-GEORGES,685,0,0.0,-685,0,In calo,2026-08,685,685,2026-08-03,007056,H263,c_h263
VALLE D'AOSTA,AOSTA,ROISAN,619,0,0.0,-619,0,In calo,2026-08,619,619,2026-08-03,007057,H497,c_h497
VALLE D'AOSTA,AOSTA,SAINT-CHRISTOPHE,1538,1497,97.33,19,1,Aggiunti civici e coordinate,2026-08,1478,1537,2026-08-03,007058,H669,c_h669
VALLE D'AOSTA,AOSTA,SAINT-DENIS,912,0,0.0,0,0,Invariato,2026-03,0,912,2026-08-03,007059,H670,c_h670
VALLE D'AOSTA,AOSTA,SAINT-MARCEL,1104,0,0.0,0,0,Invariato,2026-03,0,1104,2026-08-03,007060,H671,c_h671
VALLE D'AOSTA,AOSTA,SAINT-NICOLAS,665,0,0.0,-665,0,In calo,2026-08,665,665,2026-08-03,007061,H672,c_h672
VALLE D'AOSTA,AOSTA,SAINT-OYEN,167,0,0.0,-167,0,In calo,2026-08,167,167,2026-08-03,007062,H673,c_h673
VALLE D'AOSTA,AOSTA,SAINT-PIERRE,1881,1881,100.0,1,1,Aggiunti civici e coordinate,2026-08,1880,1880,2026-08-03,007063,H674,c_h674
VALLE D'AOSTA,AOSTA,SAINT-RHÉMY-EN-BOSSES,439,0,0.0,0,0,Invariato,2026-03,0,439,2026-08-03,007064,H675,c_h675
VALLE D'AOSTA,AOSTA,SAINT-VINCENT,4546,0,0.0,0,0,Invariato,2026-03,0,4546,2026-08-03,007065,H676,c_h676
VALLE D'AOSTA,AOSTA,SARRE,2098,0,0.0,0,0,Invariato,2026-03,0,2098,2026-08-03,007066,I442,c_i442
VALLE D'AOSTA,AOSTA,TORGNON,2325,0,0.0,-1641,0,In calo,2026-08,1641,2325,2026-08-03,007067,L217,c_l217
VALLE D'AOSTA,AOSTA,VALGRISENCHE,200,0,0.0,0,0,Invariato,2026-03,0,200,2026-08-03,007068,L582,c_l582
VALLE D'AOSTA,AOSTA,VALPELLINE,664,0,0.0,0,0,Invariato,2026-03,0,664,2026-08-03,007069,L643,c_l643
VALLE D'AOSTA,AOSTA,VALSAVARENCHE,1015,0,0.0,0,0,Invariato,2026-03,0,1015,2026-08-03,007070,L647,c_l647
VALLE D'AOSTA,AOSTA,VALTOURNENCHE,1823,0,0.0,0,0,Invariato,2026-03,0,1823,2026-08-03,007071,L654,c_l654
VALLE D'AOSTA,AOSTA,VERRAYES,1912,0,0.0,0,0,Invariato,2026-03,0,1912,2026-08-03,007072,L783,c_l783
VALLE D'AOSTA,AOSTA,VERRÈS,1309,0,0.0,-1249,0,In calo,2026-08,1249,1309,2026-08-03,007073,C282,c_c282
VALLE D'AOSTA,AOSTA,VILLENEUVE,1070,0,0.0,-1070,0,In calo,2026-08,1070,1070,2026-08-03,007074,L981,c_l981
